1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,
Global,33 300 000,[31 400 000 - 35 300 000],28 600 000,[27 100 000 - 30 300 000],30 800 000,[29 200 000 - 32 600 000],26 700 000,[25 400 000 - 28 000 000],0.8, [0.7 - 0.8],0.8, [0.7 - 0.8],15 900 000,[14 800 000 - 17 200 000],13 600 000,[12 900 000 - 14 700 000],2 500 000,[1 600 000 - 3 400 000],2 000 000,[1 200 000 - 2 700 000],0.6, [0.5 - 0.7],0.3, [0.2 - 0.3],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - <0.10],2 600 000,[2 300 000 - 2 800 000],2 200 000,[2 000 000 - 2 400 000],1 800 000,[1 600 000 - 2 100 000],1 800 000,[1 600 000 - 2 000 000],16 600 000,[14 400 000 - 18 800 000],10 000 000,[7 900 000 - 12 500 000],...,...,...,...,...,...,
Angola,200 000,[160 000 - 250 000],140 000,[110 000 - 190 000],180 000,[140 000 - 220 000],130 000,[100 000 - 170 000],2.0, [1.6 - 2.4],1.9, [1.4 - 2.4],110 000,[85 000 - 130 000],77 000,[59 000 - 100 000],22 000,[12 000 - 35 000],14 000,[6900 - 24 000],1.6, [1.1 - 2.2],0.6, [0.4 - 0.9],0.21, [0.14 - 0.28],0.22, [0.17 - 0.28],22 000,[16 000 - 29 000],17 000,[12 000 - 23 000],11 000,[7700 - 16 000],10 000,[6500 - 14 000],140 000,[95 000 - 200 000],65 000,[30 000 - 110 000],...,...,...,...,...,...,
Benin,60 000,[52 000 - 69 000],50 000,[42 000 - 62 000],55 000,[48 000 - 63 000],47 000,[40 000 - 56 000],1.2, [1.0 - 1.3],1.4, [1.2 - 1.7],32 000,[27 000 - 37 000],27 000,[23 000 - 33 000],5400,[2900 - 7800],3100,[1600 - 6600],0.7, [0.5 - 1.1],0.3, [0.2 - 0.4],0.10, [<0.10 - 0.13],0.11, [<0.10 - 0.15],4900,[3400 - 6500],4000,[2700 - 5400],2700,[1800 - 3700],3100,[1900 - 5200],30 000,[18 000 - 53 000],13 000,[5100 - 100 000],2009,4.2,2009,24.7,...,...,
Botswana,320 000,[300 000 - 350 000],270 000,[250 000 - 290 000],300 000,[280 000 - 330 000],260 000,[240 000 - 280 000],24.8, [23.8 - 25.8],26.3, [25.5 - 27.4],170 000,[160 000 - 190 000],150 000,[140 000 - 160 000],16 000,[9900 - 20 000],14 000,[7800 - 19 000],11.8, [9.0 - 15.9],5.2, [3.7 - 7.3],1.56, [1.11 - 2.27],3.03, [2.64 - 3.48],14 000,[10 000 - 20 000],13 000,[9400 - 19 000],5800,[2300 - 14 000],15 000,[12 000 - 18 000],93 000,[71 000 - 120 000],56 000,[45 000 - 72 000],...,...,...,...,...,...,
Burkina Faso,110 000,[91 000 - 140 000],140 000,[120 000 - 180 000],93 000,[77 000 - 120 000],120 000,[99 000 - 150 000],1.2, [1.0 - 1.5],2.1, [1.7 - 2.5],56 000,[44 000 - 70 000],73 000,[60 000 - 92 000],17 000,[8100 - 25 000],24 000,[12 000 - 37 000],0.8, [0.6 - 1.2],0.5, [0.3 - 0.6],<0.10, [<0.10 - 0.11],0.11, [<0.10 - 0.16],6800,[4300 - 11 000],5000,[2800 - 7900],7100,[4800 - 9700],15 000,[11 000 - 19 000],140 000,[100 000 - 170 000],140 000,[100 000 - 190 000],...,...,2005,16.3,...,...,
Burundi,180 000,[160 000 - 190 000],170 000,[160 000 - 190 000],150 000,[130 000 - 160 000],150 000,[140 000 - 160 000],3.3, [2.9 - 3.5],5.0, [4.8 - 5.1],90 000,[78 000 - 100 000],90 000,[81 000 - 99 000],28 000,[17 000 - 40 000],26 000,[16 000 - 36 000],2.1, [1.6 - 2.7],1.0, [0.8 - 1.2],…, [0.17 - 0.28],…, [0.34 - 0.47],…,[11 000 - 17 000],…,[7000 - 11 000],15 000,[12 000 - 17 000],14 000,[12 000 - 17 000],200 000,[170 000 - 230 000],130 000,[110 000 - 160 000],...,...,2007,39.8,...,...,
Cameroon,610 000,[540 000 - 670 000],480 000,[430 000 - 530 000],550 000,[500 000 - 610 000],440 000,[400 000 - 490 000],5.3, [4.9 - 5.8],5.5, [5.1 - 6.0],320 000,[290 000 - 370 000],260 000,[230 000 - 290 000],54 000,[29 000 - 78 000],33 000,[18 000 - 50 000],3.9, [3.1 - 5.4],1.6, [1.2 - 2.1],0.53, [0.43 - 0.61],0.59, [0.50 - 0.69],58 000,[48 000 - 67 000],48 000,[39 000 - 56 000],37 000,[29 000 - 46 000],31 000,[25 000 - 37 000],330 000,[270 000 - 420 000],140 000,[91 000 - 230 000],...,...,2009,35.5,...,...,
Central African Republic,130 000,[110 000 - 140 000],180 000,[160 000 - 220 000],110 000,[98 000 - 120 000],170 000,[150 000 - 200 000],4.7, [4.2 - 5.2],8.9, [8.1 - 10.6],67 000,[57 000 - 78 000],99 000,[86 000 - 120 000],17 000,[8200 - 25 000],17 000,[8600 - 25 000],2.2, [1.4 - 3.1],1.0, [0.6 - 1.4],0.17, [<0.10 - 0.25],0.56, [0.43 - 0.69],5200,[3100 - 7100],3600,[1800 - 5200],11 000,[8800 - 13 000],15 000,[12 000 - 20 000],140 000,[110 000 - 180 000],82 000,[54 000 - 120 000],...,...,...,...,...,...,
Chad,210 000,[170 000 - 300 000],140 000,[99 000 - 180 000],180 000,[150 000 - 280 000],130 000,[91 000 - 170 000],3.4, [2.8 - 5.1],3.2, [2.3 - 4.0],110 000,[88 000 - 160 000],76 000,[54 000 - 98 000],23 000,[12 000 - 35 000],13 000,[6400 - 22 000],2.5, [1.7 - 5.2],1.0, [0.7 - 2.0],…, [0.15 - 0.87],…, [0.39 - 0.55],...,[12 000 - 47 000],...,[8000 - 39 000],11 000,[8100 - 15 000],8900,[5400 - 13 000],120 000,[79 000 - 170 000],50 000,[26 000 - 91 000],...,...,2009,20.0,...,...,
Comoros,<500,[<200 - <500],<100,[<100 - <200],<500,[<200 - <500],<100,[<100 - <100],0.1, [<0.1 - 0.1],<0.1, [<0.1 - <0.1],<100,[<100 - <100],<100,[<100 - <100],...,...,...,...,<0.1, [<0.1 - <0.1],<0.1, [<0.1 - 0.1],…, [<0.10 - <0.10],…, [<0.10 - <0.10],...,[<100 - <100],...,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],<100,[<100 - <100],...,...,…,...,...,...,
Congo,77 000,[68 000 - 87 000],69 000,[61 000 - 80 000],69 000,[61 000 - 78 000],61 000,[54 000 - 71 000],3.4, [3.1 - 3.8],3.8, [3.4 - 4.4],40 000,[35 000 - 47 000],36 000,[31 000 - 42 000],7900,[4000 - 12 000],8300,[4200 - 12 000],2.6, [2.1 - 3.6],1.2, [0.9 - 1.6],0.28, [0.23 - 0.35],0.43, [0.36 - 0.51],6500,[5200 - 7900],5100,[4100 - 6300],5100,[4100 - 6400],5800,[4800 - 7100],51 000,[41 000 - 66 000],51 000,[34 000 - 73 000],...,...,...,...,...,...,
Cote dIvoire,450 000,[390 000 - 510 000],630 000,[560 000 - 710 000],380 000,[340 000 - 440 000],570 000,[510 000 - 640 000],3.4, [3.1 - 3.9],6.5, [5.9 - 7.1],220 000,[190 000 - 260 000],320 000,[280 000 - 370 000],63 000,[32 000 - 91 000],59 000,[31 000 - 95 000],1.5, [1.1 - 2.3],0.7, [0.5 - 1.1],0.11, [<0.10 - 0.20],0.39, [0.30 - 0.51],17 000,[11 000 - 27 000],11 000,[5700 - 19 000],36 000,[29 000 - 44 000],51 000,[37 000 - 66 000],440 000,[330 000 - 550 000],270 000,[170 000 - 440 000],...,...,...,...,...,...,
Democratic Republic of the Congo,...,[430 000 - 560 000],...,[310 000 - 420 000],...,[380 000 - 490 000],...,[270 000 - 360 000],..., [1.2 - 1.6],..., [1.1 - 1.5],...,[220 000 - 300 000],...,[160 000 - 220 000],...,[33 000 - 86 000],...,[26 000 - 70 000],..., [0.9 - 1.5],..., [0.4 - 0.6],..., [0.13 - 0.18],..., [0.13 - 0.18],...,[49 000 - 67 000],...,[38 000 - 52 000],...,[26 000 - 40 000],...,[24 000 - 34 000],...,[350 000 - 510 000],...,[290 000 - 450 000],...,...,...,...,...,...,
Equatorial Guinea,20 000,[14 000 - 26 000],5700,[3900 - 9100],18 000,[13 000 - 23 000],5400,[3700 - 8700],5.0, [3.5 - 6.6],1.9, [1.3 - 3.1],11 000,[7600 - 14 000],3100,[2100 - 5100],1600,[<1000 - 2600],<500,[<200 - <1000],5.0, [2.7 - 7.9],1.9, [1.0 - 3.2],…, [0.23 - 1.20],…, [0.38 - 0.83],...,[1200 - 4500],...,[<1000 - 3800],<1000,[<1000 - 1400],<500,[<200 - <500],4100,[2500 - 6400],<1000,[<500 - <1000],...,...,...,...,...,...,
Eritrea,25 000,[18 000 - 33 000],26 000,[19 000 - 34 000],22 000,[16 000 - 29 000],23 000,[18 000 - 31 000],0.8, [0.6 - 1.0],1.2, [0.9 - 1.5],13 000,[9800 - 18 000],14 000,[11 000 - 19 000],3100,[1500 - 5000],2300,[1200 - 4100],0.4, [0.2 - 0.7],0.2, [0.1 - 0.3],<0.10, [<0.10 - <0.10],<0.10, [<0.10 - 0.14],1300,[<1000 - 2300],<1000,[<500 - 1700],1700,[1000 - 2500],1800,[1200 - 2600],19 000,[12 000 - 28 000],8700,[4100 - 18 000],...,...,2008,7.8,...,...,
Ethiopia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Gabon,46 000,[37 000 - 55 000],36 000,[29 000 - 46 000],43 000,[35 000 - 51 000],34 000,[27 000 - 43 000],5.2, [4.2 - 6.2],5.3, [4.3 - 6.8],25 000,[20 000 - 30 000],20 000,[16 000 - 25 000],3200,[1700 - 4800],2000,[1200 - 3100],3.5, [2.1 - 5.2],1.4, [0.8 - 2.0],0.43, [0.10 - 0.61],0.63, [0.46 - 0.85],3600,[1300 - 5000],3100,[<1000 - 4300],2400,[1600 - 3400],2000,[1500 - 2800],18 000,[12 000 - 25 000],7600,[5200 - 11 000],...,...,2010,23.6,...,...,
Gambia,18 000,[12 000 - 26 000],4300,[2400 - 8400],17 000,[11 000 - 24 000],3900,[2200 - 7500],2.0, [1.3 - 2.9],0.6, [0.3 - 1.1],9700,[6200 - 14 000],2300,[1300 - 4400],...,...,...,...,2.4, [1.4 - 4.0],0.9, [0.5 - 1.6],…, [0.21 - 0.83],..., [<0.10 - 0.22],...,[1900 - 6400],...,[1600 - 5800],<1000,[<500 - 1200],<500,[<200 - <1000],2800,[1400 - 6500],<1000,[<500 - 6400],...,...,...,...,...,...,
Ghana,260 000,[230 000 - 300 000],250 000,[220 000 - 280 000],240 000,[210 000 - 260 000],230 000,[200 000 - 260 000],1.8, [1.6 - 2.0],2.3, [2.0 - 2.5],140 000,[120 000 - 160 000],130 000,[120 000 - 150 000],27 000,[14 000 - 41 000],18 000,[9900 - 29 000],1.3, [0.9 - 1.8],0.5, [0.4 - 0.7],0.15, [0.12 - 0.19],0.18, [0.15 - 0.22],22 000,[17 000 - 27 000],18 000,[14 000 - 23 000],18 000,[14 000 - 22 000],16 000,[13 000 - 21 000],160 000,[120 000 - 210 000],60 000,[42 000 - 120 000],...,...,2009,25.0,...,...,
Guinea,79 000,[65 000 - 95 000],78 000,[57 000 - 120 000],70 000,[58 000 - 84 000],70 000,[52 000 - 100 000],1.3, [1.1 - 1.6],1.7, [1.2 - 2.4],41 000,[34 000 - 50 000],41 000,[30 000 - 61 000],9000,[4300 - 14 000],8400,[3500 - 18 000],0.9, [0.6 - 1.3],0.4, [0.3 - 0.6],0.10, [<0.10 - 0.13],0.15, [0.11 - 0.21],6200,[3800 - 8400],4800,[2600 - 6600],4700,[3100 - 6900],6300,[3000 - 14 000],59 000,[34 000 - 120 000],40 000,[12 000 - 100 000],...,...,2008,32.7,...,...,
Guinea-Bissau,22 000,[18 000 - 26 000],14 000,[12 000 - 17 000],20 000,[16 000 - 24 000],13 000,[11 000 - 16 000],2.5, [2.0 - 3.0],2.0, [1.7 - 2.4],12 000,[9300 - 14 000],7800,[6400 - 9300],2100,[1100 - 3200],<1000,[<1000 - 1400],2.0, [1.5 - 2.9],0.8, [0.5 - 1.1],0.21, [0.14 - 0.32],0.32, [0.24 - 0.40],2100,[1400 - 2900],1600,[1100 - 2300],1200,[<1000 - 1600],<1000,[<1000 - <1000],9700,[7700 - 12 000],2800,[1800 - 3900],...,...,2009,39.6,...,...,
Kenya,1 500 000,[1 300 000 - 1 600 000],1 500 000,[1 400 000 - 1 600 000],1 300 000,[1 200 000 - 1 400 000],1 300 000,[1 200 000 - 1 400 000],6.3, [5.8 - 6.5],8.4, [8.1 - 9.0],760 000,[650 000 - 860 000],780 000,[700 000 - 870 000],180 000,[98 000 - 260 000],170 000,[98 000 - 230 000],4.1, [3.0 - 5.4],1.8, [1.3 - 2.4],0.53, [0.34 - 0.70],0.55, [0.38 - 0.76],110 000,[81 000 - 150 000],92 000,[61 000 - 120 000],80 000,[61 000 - 99 000],120 000,[100 000 - 150 000],1 200 000,[980 000 - 1 400 000],820 000,[640 000 - 1 100 000],...,...,...,...,...,...,
Lesotho,290 000,[260 000 - 310 000],240 000,[220 000 - 270 000],260 000,[240 000 - 280 000],230 000,[210 000 - 250 000],23.6, [22.3 - 25.2],24.5, [23.1 - 26.1],160 000,[140 000 - 180 000],140 000,[130 000 - 160 000],28 000,[17 000 - 37 000],18 000,[11 000 - 23 000],14.2, [11.2 - 19.2],5.4, [4.1 - 7.4],2.58, [2.18 - 3.04],2.88, [2.53 - 3.40],23 000,[20 000 - 27 000],20 000,[17 000 - 24 000],14 000,[10 000 - 18 000],14 000,[12 000 - 18 000],130 000,[110 000 - 160 000],52 000,[41 000 - 68 000],...,...,...,...,...,...,
Liberia,37 000,[32 000 - 43 000],51 000,[36 000 - 70 000],31 000,[27 000 - 37 000],46 000,[33 000 - 63 000],1.5, [1.3 - 1.8],3.1, [2.2 - 4.1],19 000,[16 000 - 22 000],27 000,[19 000 - 37 000],6100,[3000 - 9900],4600,[2100 - 8400],0.7, [0.2 - 1.2],0.3, [0.1 - 0.5],…, [<0.10 - 0.17],..., [<0.10 - 0.22],...,[<1000 - 3800],...,[<200 - 3100],3600,[2800 - 4600],3900,[2300 - 6200],52 000,[34 000 - 76 000],19 000,[9900 - 33 000],...,...,...,...,...,...,
Madagascar,24 000,[19 000 - 30 000],18 000,[15 000 - 22 000],23 000,[18 000 - 28 000],17 000,[14 000 - 20 000],0.2, [0.2 - 0.3],0.2, [0.2 - 0.3],7300,[5800 - 9000],5400,[4500 - 6400],...,...,...,...,0.1, [<0.1 - 0.1],0.1, [0.1 - 0.4],…, [<0.10 - <0.10],..., [<0.10 - <0.10],...,[1800 - 3700],...,[1600 - 3400],1700,[1400 - 2000],1300,[1100 - 1600],11 000,[9300 - 14 000],9500,[7600 - 12 000],...,...,2007,0.5,...,...,
Malawi,920 000,[830 000 - 1 000 000],860 000,[770 000 - 960 000],800 000,[730 000 - 890 000],760 000,[690 000 - 840 000],11.0, [10.0 - 12.1],13.8, [12.7 - 15.1],470 000,[410 000 - 530 000],440 000,[390 000 - 500 000],120 000,[68 000 - 170 000],100 000,[57 000 - 140 000],6.8, [5.3 - 9.2],3.1, [2.3 - 4.2],0.95, [0.67 - 1.23],1.35, [1.15 - 1.61],73 000,[57 000 - 91 000],56 000,[40 000 - 72 000],51 000,[38 000 - 67 000],68 000,[57 000 - 81 000],650 000,[540 000 - 780 000],430 000,[330 000 - 550 000],...,...,2006,70.7,...,...,
Mali,76 000,[61 000 - 96 000],89 000,[72 000 - 110 000],66 000,[52 000 - 84 000],80 000,[66 000 - 98 000],1.0, [0.8 - 1.3],1.6, [1.3 - 1.9],40 000,[31 000 - 52 000],48 000,[40 000 - 59 000],...,...,...,...,0.5, [0.2 - 0.9],0.2, [0.1 - 0.4],<0.10, [<0.10 - 0.12],<0.10, [<0.10 - 0.14],4600,[1300 - 8300],3400,[<500 - 6800],4400,[3000 - 6100],7200,[4200 - 11 000],59 000,[36 000 - 93 000],35 000,[15 000 - 89 000],...,...,2006,35.3,...,...,
Mauritania,14 000,[11 000 - 17 000],8900,[7300 - 11 000],13 000,[11 000 - 16 000],8600,[7100 - 11 000],0.7, [0.6 - 0.9],0.6, [0.5 - 0.7],4000,[3200 - 4900],2600,[2100 - 3200],...,...,...,...,0.3, [0.1 - 0.5],0.4, [0.2 - 1.4],…, [<0.10 - 0.11],..., [<0.10 - 0.11],...,[<1000 - 1900],...,[<1000 - 1700],<1000,[<1000 - 1000],<500,[<500 - <1000],3600,[2700 - 4800],1500,[<1000 - 2200],...,...,2007,7.6,...,...,
Mauritius,8800,[6400 - 12 000],3100,[2100 - 4200],8700,[6300 - 12 000],3100,[2100 - 4200],1.0, [0.7 - 1.3],0.4, [0.3 - 0.5],2500,[1800 - 3400],<1000,[<1000 - 1200],...,...,...,...,0.2, [0.1 - 0.3],0.3, [0.2 - 0.4],…, [<0.10 - 0.22],..., [<0.10 - 0.12],...,[<1000 - 1800],...,[<1000 - 1800],<500,[<500 - <1000],<200,[<100 - <200],<1000,[<500 - <1000],<200,[<100 - <500],2009,47.1,...,...,...,...,
Mozambique,1 400 000,[1 200 000 - 1 500 000],850 000,[760 000 - 940 000],1 200 000,[1 100 000 - 1 400 000],800 000,[720 000 - 870 000],11.5, [10.6 - 12.2],9.4, [8.7 - 10.3],760 000,[680 000 - 840 000],470 000,[430 000 - 530 000],130 000,[70 000 - 180 000],53 000,[30 000 - 77 000],8.6, [7.0 - 12.1],3.1, [2.4 - 4.4],1.19, [0.99 - 1.35],1.77, [1.56 - 1.96],130 000,[110 000 - 150 000],110 000,[91 000 - 120 000],74 000,[57 000 - 92 000],43 000,[34 000 - 53 000],670 000,...,220 000,...,...,...,...,...,...,...,
Namibia,180 000,[150 000 - 210 000],160 000,[140 000 - 200 000],160 000,[140 000 - 190 000],150 000,[130 000 - 180 000],13.1, [11.1 - 15.5],16.1, [13.6 - 19],95 000,[79 000 - 110 000],90 000,[76 000 - 110 000],16 000,[9100 - 23 000],7900,[4400 - 11 000],5.8, [3.7 - 8.6],2.3, [1.3 - 3.6],0.43, [<0.10 - 0.93],2.29, [1.77 - 2.90],5800,[2100 - 11 000],4400,[<1000 - 9300],6700,[2500 - 11 000],8100,[6200 - 11 000],70 000,[50 000 - 96 000],30 000,[22 000 - 42 000],...,...,...,...,...,...,
Niger,61 000,[50 000 - 77 000],53 000,[43 000 - 67 000],53 000,[43 000 - 67 000],49 000,[40 000 - 61 000],0.8,[0.7 - 1.0],1.0,[0.8 - 1.3],28 000,[23 000 - 36 000],25 000,[20 000 - 32 000],…,…,…,…,0.5,[0.4 - 0.6],0.2,[0.2 - 0.3],<0.10,[<0.10 - 0.10],<0.10,[<0.10 - 0.12],6100,[4300 - 8400],4600,[3200 - 6100],4300,[3300 - 5600],3300,[2500 - 4500],57 000,[44 000 - 73 000],17 000,[12 000 - 24 000],...,...,2009,35.6,...,...,
Nigeria,3 300 000,[2 900 000 - 3 600 000],2 700 000,[2 300 000 - 3 100 000],2 900 000,[2 600 000 - 3 200 000],2 400 000,[2 100 000 - 2 700 000],3.6, [3.3 - 4.0],3.8, [3.4 - 4.2],1 700 000,[1 500 000 - 1 900 000],1 400 000,[1 200 000 - 1 600 000],360 000,[180 000 - 520 000],270 000,[130 000 - 410 000],2.9, [2.3 - 3.9],1.2, [0.9 - 1.6],0.38, [0.33 - 0.44],0.39, [0.33 - 0.47],340 000,[280 000 - 390 000],270 000,[230 000 - 310 000],220 000,[170 000 - 260 000],210 000,[130 000 - 260 000],2 500 000,[1 800 000 - 3 100 000],1 300 000,[420 000 - 1 900 000],2007,5.6,2007,32.7,2007,13.5,
